topic,key,t_s,value
/control/diagnostics,cycle_time_ms,73.84,0.0
/control/diagnostics,cycle_time_ms,73.86,0.0
/control/diagnostics,cycle_time_ms,73.88,0.0
/planning/diagnostics,cycle_ms,73.9,0.037509
/control/diagnostics,cycle_time_ms,73.9,0.0
/control/diagnostics,cycle_time_ms,73.92,0.0
/control/diagnostics,cycle_time_ms,73.94,0.0
/control/diagnostics,cycle_time_ms,73.96,0.0
/control/diagnostics,cycle_time_ms,73.98,0.0
/control/diagnostics,cycle_time_ms,74.0,0.0
/planning/diagnostics,cycle_ms,74.0,0.060092
/control/diagnostics,cycle_time_ms,74.02,0.0
/control/diagnostics,cycle_time_ms,74.04,0.0
/perception/diagnostics,ground_ms,74.0,2.750587
/perception/diagnostics,cluster_ms,74.0,14.382125
/perception/diagnostics,fit_ms,74.0,2.244674
/perception/diagnostics,track_ms,74.0,0.046016
/perception/diagnostics,total_ms,74.0,19.531293
/control/diagnostics,cycle_time_ms,74.06,0.0
/control/diagnostics,cycle_time_ms,74.08,0.0
/planning/diagnostics,cycle_ms,74.1,0.064109
/control/diagnostics,cycle_time_ms,74.1,0.0
/control/diagnostics,cycle_time_ms,74.121,0.0
/control/diagnostics,cycle_time_ms,74.14,0.0
/control/diagnostics,cycle_time_ms,74.16,0.0
/control/diagnostics,cycle_time_ms,74.18,0.0
/planning/diagnostics,cycle_ms,74.2,0.05906
/control/diagnostics,cycle_time_ms,74.2,0.0
/control/diagnostics,cycle_time_ms,74.22,0.0
/control/diagnostics,cycle_time_ms,74.24,0.0
/control/diagnostics,cycle_time_ms,74.26,0.0
/control/diagnostics,cycle_time_ms,74.28,0.0
/planning/diagnostics,cycle_ms,74.3,0.036939
